UnitID,Institution Name,Percent of full-time first-time undergraduates awarded Pell grants (SFA1516),Percent of undergraduate students awarded Pell grants (SFA1516),Percent of full-time first-time undergraduates awarded Pell grants (SFA1415),Percent of undergraduate students awarded Pell grants (SFA1415),Percent of full-time first-time undergraduates awarded Pell grants (SFA1314),Percent of undergraduate students awarded Pell grants (SFA1314),Percent of full-time first-time undergraduates awarded Pell grants (SFA1213),Percent of undergraduate students awarded Pell grants (SFA1213),Percent of full-time first-time undergraduates awarded Pell grants (SFA1112),Percent of undergraduate students awarded Pell grants (SFA1112),Percent of full-time first-time undergraduates awarded Pell grants (SFA1011),Percent of undergraduate students awarded Pell grants (SFA1011)
104151,Arizona State University-Tempe,26,30,28,31,26,32,29,34,37,41,35,38
100858,Auburn University,13,15,14,16,13,16,13,17,13,18,14,18
219602,Austin Peay State University,55,51,50,53,52,52,56,54,56,53,55,51
217882,Clemson University,16,17,15,18,15,18,16,18,17,18,17,18
126818,Colorado State University-Fort Collins,21,24,21,24,22,25,24,26,25,26,23,24
220075,East Tennessee State University,44,40,47,42,47,43,46,44,49,45,50,44
134097,Florida State University,26,31,24,32,27,33,27,31,28,32,28,29
139755,Georgia Institute of Technology-Main Campus,11,16,13,17,14,18,14,19,17,20,17,17
151351,Indiana University-Bloomington,19,15,18,16,19,16,19,19,20,20,21,20
153603,Iowa State University,19,21,20,21,20,22,21,23,23,24,23,25
159391,Louisiana State University and Agricultural & Mechanical College,24,21,22,20,24,20,23,20,21,20,20,20
171100,Michigan State University,23,23,21,22,22,23,21,24,24,25,26,26
220978,Middle Tennessee State University,49,42,48,44,50,45,51,45,49,44,48,41
176080,Mississippi State University,34,32,32,33,33,33,32,34,36,36,34,35
199193,North Carolina State University at Raleigh,19,21,21,22,19,22,21,22,22,23,25,23
204796,Ohio State University-Main Campus,17,20,17,21,18,22,19,22,21,24,20,28
214777,Pennsylvania State University-Main Campus,12,15,13,16,13,17,14,18,15,19,16,19
243780,Purdue University-Main Campus,17,18,17,19,19,20,19,21,19,22,21,22
186380,Rutgers University-New Brunswick,28,31,28,31,28,30,29,31,31,31,29,29
196097,Stony Brook University,33,33,32,33,32,34,34,35,36,37,38,36
221838,Tennessee State University,70,59,71,62,73,65,77,67,78,69,80,66
221847,Tennessee Technological University,37,34,37,34,38,36,36,37,39,39,41,40
228723,Texas A & M University-College Station,24,22,24,22,24,22,26,22,23,22,23,22
100751,The University of Alabama,18,19,19,20,18,20,18,21,20,23,21,23
221740,The University of Tennessee-Chattanooga,31,35,35,35,35,34,35,35,36,36,35,38
221759,The University of Tennessee-Knoxville,28,29,29,29,29,30,30,30,31,31,29,29
221768,The University of Tennessee-Martin,47,46,50,49,52,48,53,47,52,47,51,43
228778,The University of Texas at Austin,24,24,22,25,25,26,26,27,27,28,28,27
196088,University at Buffalo,34,32,31,31,33,30,31,28,33,30,28,31
104179,University of Arizona,26,31,28,32,31,33,30,33,32,34,32,32
106397,University of Arkansas,19,22,21,23,22,24,22,24,23,25,24,25
110635,University of California-Berkeley,23,30,26,31,24,31,27,32,24,33,27,34
110644,University of California-Davis,34,40,38,41,37,43,37,43,42,43,39,41
110653,University of California-Irvine,41,45,43,46,47,45,48,43,45,40,38,37
110662,University of California-Los Angeles,30,35,30,35,32,36,31,36,32,36,32,36
110671,University of California-Riverside,53,56,52,57,55,58,56,56,59,57,57,55
110680,University of California-San Diego,26,35,33,38,32,40,30,43,46,46,47,46
110705,University of California-Santa Barbara,39,39,38,38,36,38,41,38,39,37,34,36
126614,University of Colorado Boulder,16,16,16,17,17,18,17,17,17,18,16,18
129020,University of Connecticut,18,21,19,21,19,21,18,21,18,21,19,21
130943,University of Delaware,14,14,15,14,16,14,14,12,12,11,13,12
134130,University of Florida,25,28,27,30,28,32,29,32,32,32,29,30
139959,University of Georgia,19,22,20,23,22,24,21,24,24,25,22,24
145637,University of Illinois at Urbana-Champaign,22,21,21,20,22,21,21,20,21,20,21,20
153658,University of Iowa,23,19,21,19,19,19,20,19,18,19,17,19
155317,University of Kansas,23,22,24,23,23,22,22,22,22,22,22,22
157085,University of Kentucky,24,23,26,25,26,25,25,25,26,24,25,24
163286,University of Maryland-College Park,14,19,14,19,14,20,15,19,15,19,15,20
166629,University of Massachusetts-Amherst,19,22,21,24,23,25,22,25,23,26,25,27
220862,University of Memphis,49,46,52,47,49,47,48,47,54,52,55,49
170976,University of Michigan-Ann Arbor,15,15,13,15,14,16,14,16,16,16,15,16
174066,University of Minnesota-Twin Cities,19,19,20,20,21,21,21,22,22,23,23,24
176017,University of Mississippi,22,26,23,27,25,28,26,30,27,31,30,31
178396,University of Missouri-Columbia,19,20,21,21,22,21,23,22,23,23,22,22
181464,University of Nebraska-Lincoln,25,21,25,21,26,20,24,20,24,23,24,21
199120,University of North Carolina at Chapel Hill,21,22,20,22,22,21,20,21,20,21,20,20
207500,University of Oklahoma-Norman Campus,20,22,21,23,23,24,23,25,24,26,24,25
209551,University of Oregon,25,24,24,25,24,25,23,26,25,26,23,25
215293,University of Pittsburgh-Pittsburgh Campus,13,16,15,17,16,17,16,17,16,18,16,19
218663,University of South Carolina-Columbia,17,22,18,22,18,23,19,24,20,24,21,24
230764,University of Utah,24,29,27,30,25,31,24,32,24,32,20,31
234076,University of Virginia-Main Campus,12,12,12,13,13,13,11,12,12,12,13,13
236948,University of Washington-Seattle Campus,19,22,21,24,23,25,22,25,23,25,24,25
240444,University of Wisconsin-Madison,12,14,12,14,14,15,13,15,16,16,15,16
221999,Vanderbilt University,14,14,13,14,14,14,13,14,14,15,13,15
233921,Virginia Polytechnic Institute and State University,14,16,15,17,15,17,15,17,15,18,15,18
